2024-05-21 00:13:02,627 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,627 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,628 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:02,689 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([2.1085e-01, 5.9001e-05, 6.7876e-01, 3.6242e-01])
2024-05-21 00:13:02,690 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,691 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,692 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:02,694 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([0.5096, 0.0571, 0.5617, 0.2282])
2024-05-21 00:13:02,694 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,696 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,696 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:02,760 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([2.1086e-01, 4.5840e-05, 6.7876e-01, 3.6248e-01])
2024-05-21 00:13:02,760 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,762 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,762 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:02,765 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([0.5111, 0.0569, 0.5620, 0.2287])
2024-05-21 00:13:02,765 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,766 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,766 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:02,861 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([2.1087e-01, 3.3633e-05, 6.7847e-01, 3.6242e-01])
2024-05-21 00:13:02,861 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,862 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,863 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:02,865 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([0.5113, 0.0569, 0.5619, 0.2284])
