2024-05-21 00:08:39,407 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([328.1945,  27.4042, 359.6357, 109.7280])
2024-05-21 00:08:39,409 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:08:39,410 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:08:39,411 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:08:39,533 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3493e+02, 4.4556e-03, 4.3409e+02, 1.7411e+02])
2024-05-21 00:08:39,534 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:08:39,537 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:08:39,542 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:08:39,546 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([327.6160,  27.6352, 359.3979, 110.2023])
2024-05-21 00:08:39,547 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:08:39,548 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:08:39,548 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:08:39,667 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3484e+02, 1.7044e-02, 4.3432e+02, 1.7412e+02])
2024-05-21 00:08:39,667 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:08:39,669 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:08:39,670 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:08:39,675 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([328.1351,  28.0273, 359.6807, 112.1720])
2024-05-21 00:08:39,677 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:08:39,680 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:08:39,681 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
